Date, TIME_GPS, Altitude, Latitude, Longitude, CH4_dry
8/19/2015,76996,449.2718,35.37062,-118.981,2.004538
3/30/2016,73107,597.0214,36.78527,-120.243,2.004525
5/27/2015,71900,352.7479,37.4059,-120.603,2.00451
6/10/2014,68781,421.7485,35.45208,-118.964,2.004509
3/30/2016,73099,623.7703,36.78164,-120.254,2.004505
7/29/2015,77057,305.2204,38.43025,-121.427,2.004433
11/18/2013,78216,294.6205,38.47045,-121.365,2.00443
3/17/2016,73965,290.7071,38.86617,-121.532,2.004405
2/13/2013,73083,257.13831,36.60668853,-121.5444917,2.004355937
3/17/2016,73008,372.9279,38.36158,-121.5,2.004345
12/19/2012,71189,-17.64533459,37.40465389,-122.0444663,2.004336714
9/16/2014,75527,615.8309,35.59236,-118.99,2.004332
3/30/2016,71947,341.4094,36.30184,-119.651,2.004331
12/19/2012,71170,-18.12609789,37.40446462,-122.0450535,2.004318735
4/24/2015,78348,435.349,35.60814,-119.064,2.004208
2/13/2013,73129,298.4924681,36.64046172,-121.5814277,2.004187355
7/29/2014,70077,303.8548,37.34372,-120.567,2.004178
7/25/2014,71187,515.8403,36.93468,-120.862,2.004177
1/18/2013,75805,278.479705,37.8355877,-121.5356292,2.004171592
3/30/2016,73177,278.9497,36.79746,-120.244,2.004171
2/13/2013,72683,264.1233354,36.23499398,-121.1392228,2.004163449
3/30/2016,73125,492.977,36.80118,-120.248,2.004159
3/30/2016,73159,452.6257,36.78148,-120.248,2.004143
7/15/2014,75145,302.9816023,37.1820584,-120.3371336,2.004140262
9/16/2014,75519,628.416,35.59429,-118.998,2.00413
7/25/2014,70410,479.3212,37.33417,-120.511,2.00411
7/15/2014,74180,292.0537852,37.44648804,-121.0677901,2.004091564
7/29/2015,76878,292.686,38.47918,-121.633,2.004085
6/4/2014,66597,620.3046,38.47639,-121.259,2.004064
2/13/2014,79894,427.5816,36.91677,-120.929,2.004056
2/4/2013,85726,364.292357,37.60518385,-121.8819043,2.004044436
3/30/2016,71717,286.3774,36.50884,-119.721,2.004005
7/25/2014,68819,485.2578,38.83418,-121.429,2.003979
7/25/2014,68746,469.6795,38.86264,-121.534,2.003952
4/26/2016,79263,501.6955,36.33214,-119.41,2.00395
8/19/2015,76876,443.4199,35.27403,-118.855,2.003938
1/28/2013,76199,292.2126184,37.03742977,-120.6307438,2.003937264
3/30/2016,71097,298.987,37.03119,-120.361,2.003924
3/30/2016,73771,235.0945,37.12278,-120.992,2.003923
4/26/2016,79260,319.5698,36.33022,-119.407,2.00391
6/4/2014,67339,640.337,38.44618,-121.516,2.003903
2/13/2013,73104,272.2618225,36.62315236,-121.5623243,2.003864307
12/19/2012,71217,-19.2852933,37.40545913,-122.0448986,2.003864159
7/15/2014,75270,287.6202157,37.0633055,-120.200434,2.003856938
1/31/2013,71751,318.5490801,38.30714904,-122.6710929,2.003854964
6/15/2016,63212,620.6782,36.3185,-119.414,2.00385
